Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
431,87,Commissioner of the General Land Office,Jay Kleberg,23,7,15
431,87,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
431,87,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
431,87,Commissioner of the General Land Office,Rejected write-ins,0,0,0
431,87,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
431,87,Commissioner of Agriculture,Sid Miller,64,33,29
431,87,Commissioner of Agriculture,Susan Hays,23,7,15
431,87,Railroad Commissioner,Wayne Christian,63,33,28
431,87,Railroad Commissioner,Luke Warford,23,7,15
431,87,Railroad Commissioner,Jaime Andres Diez,1,0,1
431,87,Railroad Commissioner,Hunter Wayne Crow,0,0,0
431,87,"Justice, Supreme Court, Place 3",Debra Lehrmann,64,33,29
431,87,"Justice, Supreme Court, Place 3",Erin A. Nowell,22,7,14
431,87,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,1,0,1
431,87,"Justice, Supreme Court, Place 5",Rebeca Huddle,62,32,29
431,87,"Justice, Supreme Court, Place 5",Amanda Reichek,24,7,15
431,87,"Justice, Supreme Court, Place 9",Evan Young,65,34,30
431,87,"Justice, Supreme Court, Place 9",Julia Maldonado,22,6,14
431,87,"Judge, Court of Criminal Appeals Place 5",Scott Walker,63,32,29
431,87,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,23,7,15
431,87,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",64,33,29
431,87,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,23,7,15
431,87,"Member, State Board of Education, Disrict 12",Pam Little,62,32,28
431,87,"Member, State Board of Education, Disrict 12",Alex Cornwallis,23,7,15
431,87,"Member, State Board of Education, Disrict 12",Christy Mowrey,0,0,0
431,87,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
431,87,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
431,87,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
431,87,"State Senator, District 8",Angela Paxton,62,32,28
431,87,"State Senator, District 8",Jonathan Cocks,23,7,15
431,87,"State Senator, District 8",Edward Kless,0,0,0
431,87,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,61,32,28
431,87,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,24,7,15
431,87,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,61,32,28
431,87,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,24,7,15
431,87,"Hunt County, Proposition A",FOR,65,34,29
431,87,"Hunt County, Proposition A",AGAINST,13,4,9
431 - SGR,186,"United States Representative, District 3",Keith Self,143,90,48
431 - SGR,186,"United States Representative, District 3",Sandeep Srivastava,36,18,18
431 - SGR,186,"United States Representative, District 3",Christopher Claytor,2,2,0
431 - SGR,186,Governor,Greg Abbott,142,88,49
431 - SGR,186,Governor,Beto O'Rourke,41,23,18
431 - SGR,186,Governor,Mark Tippetts,2,2,0
431 - SGR,186,Governor,Delilah Barrios,0,0,0
431 - SGR,186,Governor,Jacqueline Abernathy,0,0,0
431 - SGR,186,Governor,Mark V. Goloby,0,0,0
431 - SGR,186,Governor,Rejected write-ins,0,0,0
431 - SGR,186,Governor,Unassigned write-ins,0,0,0
431 - SGR,186,Lieutenant Governor,Dan Patrick,137,85,47
431 - SGR,186,Lieutenant Governor,Mike Collier,44,26,18
431 - SGR,186,Lieutenant Governor,Shanna Steele,3,2,1
431 - SGR,186,Attorney General,Ken Paxton,130,79,46
431 - SGR,186,Attorney General,Rochelle Mercedes Garza,43,25,18
431 - SGR,186,Attorney General,Mark Ash,11,9,2
431 - SGR,186,Comptroller of Public Accounts,Glenn Hegar,139,85,49
431 - SGR,186,Comptroller of Public Accounts,Janet T. Dudding,42,27,15
431 - SGR,186,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,3,1,2
431 - SGR,186,Commissioner of the General Land Office,Dawn Buckingham,141,89,47
431 - SGR,186,Commissioner of the General Land Office,Jay Kleberg,40,22,18
431 - SGR,186,Commissioner of the General Land Office,"Alfred Molison, Jr.",2,1,1
431 - SGR,186,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
431 - SGR,186,Commissioner of the General Land Office,Rejected write-ins,1,1,0
431 - SGR,186,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
431 - SGR,186,Commissioner of Agriculture,Sid Miller,139,88,48
431 - SGR,186,Commissioner of Agriculture,Susan Hays,42,25,17
431 - SGR,186,Railroad Commissioner,Wayne Christian,143,89,49
431 - SGR,186,Railroad Commissioner,Luke Warford,35,21,14
431 - SGR,186,Railroad Commissioner,Jaime Andres Diez,4,2,2
431 - SGR,186,Railroad Commissioner,Hunter Wayne Crow,1,0,1
431 - SGR,186,"Justice, Supreme Court, Place 3",Debra Lehrmann,139,88,46
431 - SGR,186,"Justice, Supreme Court, Place 3",Erin A. Nowell,41,24,17
431 - SGR,186,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,2,1,1
431 - SGR,186,"Justice, Supreme Court, Place 5",Rebeca Huddle,140,88,47
431 - SGR,186,"Justice, Supreme Court, Place 5",Amanda Reichek,40,24,16
431 - SGR,186,"Justice, Supreme Court, Place 9",Evan Young,138,86,47
431 - SGR,186,"Justice, Supreme Court, Place 9",Julia Maldonado,42,26,16
431 - SGR,186,"Judge, Court of Criminal Appeals Place 5",Scott Walker,139,87,48
431 - SGR,186,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,42,26,16
431 - SGR,186,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",140,88,48
431 - SGR,186,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,40,24,16
431 - SGR,186,"Member, State Board of Education, Disrict 12",Pam Little,138,87,47
431 - SGR,186,"Member, State Board of Education, Disrict 12",Alex Cornwallis,38,22,16
431 - SGR,186,"Member, State Board of Education, Disrict 12",Christy Mowrey,2,2,0
431 - SGR,186,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
431 - SGR,186,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,1,0
431 - SGR,186,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
431 - SGR,186,"State Senator, District 8",Angela Paxton,132,82,46
431 - SGR,186,"State Senator, District 8",Jonathan Cocks,41,25,16
431 - SGR,186,"State Senator, District 8",Edward Kless,4,3,1
431 - SGR,186,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,137,85,48
431 - SGR,186,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,40,25,15
431 - SGR,186,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,140,88,48
431 - SGR,186,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,39,24,15
431 - SGR,186,"Hunt County, Proposition A",FOR,160,97,58
431 - SGR,186,"Hunt County, Proposition A",AGAINST,15,10,5
431 - SGR,186,"GREENVILLE ISD, PROPOSITION A",FOR,91,53,36
431 - SGR,186,"GREENVILLE ISD, PROPOSITION A",AGAINST,87,56,28
432,838,"United States Representative, District 3",Keith Self,714,242,454
432,838,"United States Representative, District 3",Sandeep Srivastava,89,31,50
432,838,"United States Representative, District 3",Christopher Claytor,25,4,20
432,838,Governor,Greg Abbott,720,242,457
432,838,Governor,Beto O'Rourke,100,33,58
432,838,Governor,Mark Tippetts,16,4,12
432,838,Governor,Delilah Barrios,1,0,1
432,838,Governor,Jacqueline Abernathy,0,0,0
432,838,Governor,Mark V. Goloby,0,0,0
432,838,Governor,Rejected write-ins,0,0,0
432,838,Governor,Unassigned write-ins,0,0,0
432,838,Lieutenant Governor,Dan Patrick,709,240,448
432,838,Lieutenant Governor,Mike Collier,105,36,60
432,838,Lieutenant Governor,Shanna Steele,21,3,18
432,838,Attorney General,Ken Paxton,713,241,451
432,838,Attorney General,Rochelle Mercedes Garza,94,31,54
432,838,Attorney General,Mark Ash,26,7,19
432,838,Comptroller of Public Accounts,Glenn Hegar,721,244,457
432,838,Comptroller of Public Accounts,Janet T. Dudding,85,30,47
432,838,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,20,4,16
432,838,Commissioner of the General Land Office,Dawn Buckingham,732,245,467
432,838,Commissioner of the General Land Office,Jay Kleberg,86,31,47
432,838,Commissioner of the General Land Office,"Alfred Molison, Jr.",6,1,5
432,838,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
432,838,Commissioner of the General Land Office,Rejected write-ins,0,0,0
432,838,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
432,838,Commissioner of Agriculture,Sid Miller,725,246,460
432,838,Commissioner of Agriculture,Susan Hays,95,32,54
432,838,Railroad Commissioner,Wayne Christian,711,239,454
432,838,Railroad Commissioner,Luke Warford,83,32,43
432,838,Railroad Commissioner,Jaime Andres Diez,19,3,15
432,838,Railroad Commissioner,Hunter Wayne Crow,4,2,2
432,838,"Justice, Supreme Court, Place 3",Debra Lehrmann,716,244,453
432,838,"Justice, Supreme Court, Place 3",Erin A. Nowell,82,29,45
432,838,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,20,3,17
432,838,"Justice, Supreme Court, Place 5",Rebeca Huddle,723,245,460
432,838,"Justice, Supreme Court, Place 5",Amanda Reichek,90,31,50
432,838,"Justice, Supreme Court, Place 9",Evan Young,731,248,465
432,838,"Justice, Supreme Court, Place 9",Julia Maldonado,89,29,51
432,838,"Judge, Court of Criminal Appeals Place 5",Scott Walker,729,245,466
432,838,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,93,31,53
432,838,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",730,246,466
432,838,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,86,30,47
432,838,"Member, State Board of Education, Disrict 12",Pam Little,712,239,453
432,838,"Member, State Board of Education, Disrict 12",Alex Cornwallis,85,31,47
432,838,"Member, State Board of Education, Disrict 12",Christy Mowrey,23,5,17
432,838,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
432,838,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
432,838,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
432,838,"State Senator, District 8",Angela Paxton,707,239,451
432,838,"State Senator, District 8",Jonathan Cocks,90,31,50
432,838,"State Senator, District 8",Edward Kless,22,4,18
432,838,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,729,247,462
432,838,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,87,29,50
432,838,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,728,244,465
432,838,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,89,31,49
432,838,"Hunt County, Proposition A",FOR,744,239,481
432,838,"Hunt County, Proposition A",AGAINST,62,28,34
432 - SGR,6,"United States Representative, District 3",Keith Self,6,6,0
432 - SGR,6,"United States Representative, District 3",Sandeep Srivastava,0,0,0
432 - SGR,6,"United States Representative, District 3",Christopher Claytor,0,0,0
432 - SGR,6,Governor,Greg Abbott,6,6,0
432 - SGR,6,Governor,Beto O'Rourke,0,0,0
432 - SGR,6,Governor,Mark Tippetts,0,0,0
432 - SGR,6,Governor,Delilah Barrios,0,0,0
432 - SGR,6,Governor,Jacqueline Abernathy,0,0,0
432 - SGR,6,Governor,Mark V. Goloby,0,0,0
432 - SGR,6,Governor,Rejected write-ins,0,0,0
432 - SGR,6,Governor,Unassigned write-ins,0,0,0
432 - SGR,6,Lieutenant Governor,Dan Patrick,5,5,0
432 - SGR,6,Lieutenant Governor,Mike Collier,0,0,0
432 - SGR,6,Lieutenant Governor,Shanna Steele,0,0,0
432 - SGR,6,Attorney General,Ken Paxton,5,5,0
432 - SGR,6,Attorney General,Rochelle Mercedes Garza,0,0,0
432 - SGR,6,Attorney General,Mark Ash,0,0,0
432 - SGR,6,Comptroller of Public Accounts,Glenn Hegar,5,5,0
432 - SGR,6,Comptroller of Public Accounts,Janet T. Dudding,0,0,0
432 - SGR,6,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
432 - SGR,6,Commissioner of the General Land Office,Dawn Buckingham,5,5,0
432 - SGR,6,Commissioner of the General Land Office,Jay Kleberg,0,0,0
432 - SGR,6,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
432 - SGR,6,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
432 - SGR,6,Commissioner of the General Land Office,Rejected write-ins,0,0,0
432 - SGR,6,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
432 - SGR,6,Commissioner of Agriculture,Sid Miller,5,5,0
432 - SGR,6,Commissioner of Agriculture,Susan Hays,0,0,0
432 - SGR,6,Railroad Commissioner,Wayne Christian,5,5,0
432 - SGR,6,Railroad Commissioner,Luke Warford,0,0,0
432 - SGR,6,Railroad Commissioner,Jaime Andres Diez,0,0,0
432 - SGR,6,Railroad Commissioner,Hunter Wayne Crow,0,0,0
432 - SGR,6,"Justice, Supreme Court, Place 3",Debra Lehrmann,5,5,0
432 - SGR,6,"Justice, Supreme Court, Place 3",Erin A. Nowell,0,0,0
432 - SGR,6,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
432 - SGR,6,"Justice, Supreme Court, Place 5",Rebeca Huddle,5,5,0
432 - SGR,6,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0
432 - SGR,6,"Justice, Supreme Court, Place 9",Evan Young,5,5,0
432 - SGR,6,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0
432 - SGR,6,"Judge, Court of Criminal Appeals Place 5",Scott Walker,5,5,0
432 - SGR,6,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,0,0,0
432 - SGR,6,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",5,5,0
432 - SGR,6,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,0,0,0
432 - SGR,6,"Member, State Board of Education, Disrict 12",Pam Little,5,5,0
432 - SGR,6,"Member, State Board of Education, Disrict 12",Alex Cornwallis,0,0,0
432 - SGR,6,"Member, State Board of Education, Disrict 12",Christy Mowrey,0,0,0
432 - SGR,6,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
432 - SGR,6,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
432 - SGR,6,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
432 - SGR,6,"State Senator, District 8",Angela Paxton,5,5,0
432 - SGR,6,"State Senator, District 8",Jonathan Cocks,0,0,0
432 - SGR,6,"State Senator, District 8",Edward Kless,0,0,0
432 - SGR,6,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,5,5,0
432 - SGR,6,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,0,0,0
432 - SGR,6,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,5,5,0
432 - SGR,6,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,0,0,0
432 - SGR,6,"Hunt County, Proposition A",FOR,6,6,0
432 - SGR,6,"Hunt County, Proposition A",AGAINST,0,0,0
432 - SGR,6,"GREENVILLE ISD, PROPOSITION A",FOR,2,2,0
432 - SGR,6,"GREENVILLE ISD, PROPOSITION A",AGAINST,3,3,0
433 - SGR,813,"United States Representative, District 3",Keith Self,297,145,146
433 - SGR,813,"United States Representative, District 3",Sandeep Srivastava,469,243,202
433 - SGR,813,"United States Representative, District 3",Christopher Claytor,23,9,13
433 - SGR,813,Governor,Greg Abbott,303,149,148
433 - SGR,813,Governor,Beto O'Rourke,492,258,209
433 - SGR,813,Governor,Mark Tippetts,10,5,5
433 - SGR,813,Governor,Delilah Barrios,2,0,2
433 - SGR,813,Governor,Jacqueline Abernathy,1,0,0
433 - SGR,813,Governor,Mark V. Goloby,0,0,0
433 - SGR,813,Governor,Rejected write-ins,4,1,3
433 - SGR,813,Governor,Unassigned write-ins,0,0,0
433 - SGR,813,Lieutenant Governor,Dan Patrick,300,146,148
433 - SGR,813,Lieutenant Governor,Mike Collier,467,249,193
433 - SGR,813,Lieutenant Governor,Shanna Steele,32,8,23
433 - SGR,813,Attorney General,Ken Paxton,297,140,152
433 - SGR,813,Attorney General,Rochelle Mercedes Garza,472,252,195
433 - SGR,813,Attorney General,Mark Ash,29,11,16
433 - SGR,813,Comptroller of Public Accounts,Glenn Hegar,305,145,154
433 - SGR,813,Comptroller of Public Accounts,Janet T. Dudding,458,246,186
433 - SGR,813,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,36,11,25
433 - SGR,813,Commissioner of the General Land Office,Dawn Buckingham,315,151,157
433 - SGR,813,Commissioner of the General Land Office,Jay Kleberg,456,243,188
433 - SGR,813,Commissioner of the General Land Office,"Alfred Molison, Jr.",22,7,15
433 - SGR,813,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
433 - SGR,813,Commissioner of the General Land Office,Rejected write-ins,2,1,1
433 - SGR,813,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
433 - SGR,813,Commissioner of Agriculture,Sid Miller,319,156,157
433 - SGR,813,Commissioner of Agriculture,Susan Hays,472,245,201
433 - SGR,813,Railroad Commissioner,Wayne Christian,300,145,149
433 - SGR,813,Railroad Commissioner,Luke Warford,448,237,186
433 - SGR,813,Railroad Commissioner,Jaime Andres Diez,26,9,16
433 - SGR,813,Railroad Commissioner,Hunter Wayne Crow,18,6,12
433 - SGR,813,"Justice, Supreme Court, Place 3",Debra Lehrmann,303,145,152
433 - SGR,813,"Justice, Supreme Court, Place 3",Erin A. Nowell,466,245,195
433 - SGR,813,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,30,14,16
433 - SGR,813,"Justice, Supreme Court, Place 5",Rebeca Huddle,315,150,158
433 - SGR,813,"Justice, Supreme Court, Place 5",Amanda Reichek,475,250,200
433 - SGR,813,"Justice, Supreme Court, Place 9",Evan Young,308,153,149
433 - SGR,813,"Justice, Supreme Court, Place 9",Julia Maldonado,482,248,209
433 - SGR,813,"Judge, Court of Criminal Appeals Place 5",Scott Walker,315,154,155
433 - SGR,813,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,475,245,204
433 - SGR,813,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",309,150,153
433 - SGR,813,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,476,242,208
433 - SGR,813,"Member, State Board of Education, Disrict 12",Pam Little,294,142,145
